phapdien_article_code,phapdien_heading,source_document_number,runtime_document_number,source_article_number,classification,source_note
20.2.LQ.1,Điều 20.2.LQ.1. Phạm vi điều chỉnh,45/2019/QH,45/2019/QH,1,source_document_absent_from_runtime_scope,"(Điều 1 Bộ luật số 45/2019/QH14 Bộ Luật lao động ngày 20/11/2019 của Quốc hội, có hiệu lực thi hành kể từ ngày 01/01/2021 )"
20.2.LQ.2,Điều 20.2.LQ.2. Đối tượng áp dụng,45/2019/QH,45/2019/QH,2,source_document_absent_from_runtime_scope,"(Điều 2 Bộ luật số 45/2019/QH14, có hiệu lực thi hành kể từ ngày 01/01/2021)"
20.2.NĐ.2.1,Điều 20.2.NĐ.2.1. Phạm vi điều chỉnh,135/2020/NĐ-CP,135/2020/NĐ-CP,1,covered_by_document_and_article,"(Điều 1 Nghị định số 135/2020/NĐ-CP Quy định về tuổi nghỉ hưu ngày 18/11/2020 của Chính phủ, có hiệu lực thi hành kể từ ngày 01/01/2021 )"
20.2.NĐ.2.2,Điều 20.2.NĐ.2.2. Đối tượng áp dụng,135/2020/NĐ-CP,135/2020/NĐ-CP,2,covered_by_document_and_article,"(Điều 2 Nghị định số 135/2020/NĐ-CP, có hiệu lực thi hành kể từ ngày 01/01/2021)"
20.2.NĐ.3.1,Điều 20.2.NĐ.3.1. Phạm vi điều chỉnh,145/2020/NĐ-CP,145/2020/NĐ-CP,1,covered_by_document_and_article,"(Điều 1 Nghị định số 145/2020/NĐ-CP Quy định chi tiết và hướng dẫn thi hành một số điều của Bộ luật Lao động về điều kiện lao động và quan hệ lao động ngày 14/12/2020 của Chính phủ, có hiệu lực thi hành kể từ ngày 01/02/2021 )"
20.2.NĐ.3.2,Điều 20.2.NĐ.3.2. Đối tượng áp dụng,145/2020/NĐ-CP,145/2020/NĐ-CP,2,covered_by_document_and_article,"(Điều 2 Nghị định số 145/2020/NĐ-CP, có hiệu lực thi hành kể từ ngày 01/02/2021)"
20.2.NĐ.4.1,Điều 20.2.NĐ.4.1. Phạm vi điều chỉnh,152/2020/NĐ-CP,152/2020/NĐ-CP,1,source_article_outside_selected_runtime_scope,"(Điều 1 Nghị định số 152/2020/NĐ-CP Quy định về người lao động nước ngoài làm việc tại Việt Nam và tuyển dụng, quản lý người lao động Việt Nam làm việc cho tổ chức, cá nhân nước ngoài tại Việt Nam ngày 30/12/2020 của Chính phủ, có hiệu lực thi hành kể từ ngày 15/02/2021 )"
20.2.NĐ.4.2,Điều 20.2.NĐ.4.2. Đối tượng áp dụng,152/2020/NĐ-CP,152/2020/NĐ-CP,2,source_article_outside_selected_runtime_scope,"(Điều 2 Nghị định số 152/2020/NĐ-CP, có hiệu lực thi hành kể từ ngày 15/02/2021)"
20.2.NĐ.6.1,Điều 20.2.NĐ.6.1. Phạm vi điều chỉnh,97/2022/NĐ-CP,97/2022/NĐ-CP,1,covered_by_document_and_article,"(Điều 1 Nghị định số 97/2022/NĐ-CP Quy định chính sách đối với người lao động dôi dư khi chuyển đổi sở hữu, sắp xếp lại công ty trách nhiệm hữu hạn một thành viên do Nhà nước nắm giữ 100% vốn điều lệ ngày 29/11/2022 của Chính phủ, có hiệu lực thi hành kể từ ngày 15/01/2023 )"
20.2.NĐ.6.2,Điều 20.2.NĐ.6.2. Đối tượng áp dụng,97/2022/NĐ-CP,97/2022/NĐ-CP,2,covered_by_document_and_article,"(Điều 2 Nghị định số 97/2022/NĐ-CP, có hiệu lực thi hành kể từ ngày 15/01/2023)"
